,survived,pclass,sex,age,sibsp,parch,fare,embarked,adult_male,alone
0,0,3,male,22.0,1,0,7.25,S,True,False
1,1,1,female,38.0,1,0,71.2833,C,False,False
2,1,3,female,26.0,0,0,7.925,S,False,True
3,1,1,female,35.0,1,0,53.1,S,False,False
4,0,3,male,35.0,0,0,8.05,S,True,True
5,0,3,male,26.5,0,0,8.4583,Q,True,True
6,0,1,male,54.0,0,0,51.8625,S,True,True
7,0,3,male,2.0,3,1,21.075,S,False,False
8,1,3,female,27.0,0,2,11.1333,S,False,False
9,1,2,female,14.0,1,0,30.0708,C,False,False
10,1,3,female,4.0,1,1,16.7,S,False,False
11,1,1,female,58.0,0,0,26.55,S,False,True
12,0,3,male,20.0,0,0,8.05,S,True,True
13,0,3,male,39.0,1,5,31.275,S,True,False
14,0,3,female,14.0,0,0,7.8542,S,False,True
15,1,2,female,55.0,0,0,16.0,S,False,True
16,0,3,male,2.0,4,1,29.125,Q,False,False
17,1,2,male,26.5,0,0,13.0,S,True,True
18,0,3,female,31.0,1,0,18.0,S,False,False
19,1,3,female,26.5,0,0,7.225,C,False,True
20,0,2,male,35.0,0,0,26.0,S,True,True
21,1,2,male,34.0,0,0,13.0,S,True,True
22,1,3,female,15.0,0,0,8.0292,Q,False,True
23,1,1,male,28.0,0,0,35.5,S,True,True
24,0,3,female,8.0,3,1,21.075,S,False,False
25,1,3,female,38.0,1,5,31.3875,S,False,False
26,0,3,male,26.5,0,0,7.225,C,True,True
27,0,1,male,19.0,3,2,263.0,S,True,False
28,1,3,female,26.5,0,0,7.8792,Q,False,True
29,0,3,male,26.5,0,0,7.8958,S,True,True
30,0,1,male,40.0,0,0,27.7208,C,True,True
31,1,1,female,26.5,1,0,146.5208,C,False,False
32,1,3,female,26.5,0,0,7.75,Q,False,True
33,0,2,male,66.0,0,0,10.5,S,True,True
34,0,1,male,28.0,1,0,82.1708,C,True,False
35,0,1,male,42.0,1,0,52.0,S,True,False
36,1,3,male,26.5,0,0,7.2292,C,True,True
37,0,3,male,21.0,0,0,8.05,S,True,True
38,0,3,female,18.0,2,0,18.0,S,False,False
39,1,3,female,14.0,1,0,11.2417,C,False,False
40,0,3,female,40.0,1,0,9.475,S,False,False
41,0,2,female,27.0,1,0,21.0,S,False,False
42,0,3,male,26.5,0,0,7.8958,C,True,True
43,1,2,female,3.0,1,2,41.5792,C,False,False
44,1,3,female,19.0,0,0,7.8792,Q,False,True
45,0,3,male,26.5,0,0,8.05,S,True,True
46,0,3,male,26.5,1,0,15.5,Q,True,False
47,1,3,female,26.5,0,0,7.75,Q,False,True
48,0,3,male,26.5,2,0,21.6792,C,True,False
49,0,3,female,18.0,1,0,17.8,S,False,False
50,0,3,male,7.0,4,1,39.6875,S,False,False
51,0,3,male,21.0,0,0,7.8,S,True,True
52,1,1,female,49.0,1,0,76.7292,C,False,False
53,1,2,female,29.0,1,0,26.0,S,False,False
54,0,1,male,65.0,0,1,61.9792,C,True,False
55,1,1,male,26.5,0,0,35.5,S,True,True
56,1,2,female,21.0,0,0,10.5,S,False,True
57,0,3,male,28.5,0,0,7.2292,C,True,True
58,1,2,female,5.0,1,2,27.75,S,False,False
59,0,3,male,11.0,5,2,46.9,S,False,False
60,0,3,male,22.0,0,0,7.2292,C,True,True
61,0,1,male,45.0,1,0,83.475,S,True,False
62,0,3,male,4.0,3,2,27.9,S,False,False
63,0,1,male,26.5,0,0,27.7208,C,True,True
64,1,3,male,26.5,1,1,15.2458,C,True,False
65,1,2,female,29.0,0,0,10.5,S,False,True
66,0,3,male,19.0,0,0,8.1583,S,True,True
67,1,3,female,17.0,4,2,7.925,S,False,False
68,0,3,male,26.0,2,0,8.6625,S,True,False
69,0,2,male,32.0,0,0,10.5,S,True,True
70,0,3,female,16.0,5,2,46.9,S,False,False
71,0,2,male,21.0,0,0,73.5,S,True,True
72,0,3,male,26.0,1,0,14.4542,C,True,False
73,1,3,male,32.0,0,0,56.4958,S,True,True
74,0,3,male,25.0,0,0,7.65,S,True,True
75,0,3,male,26.5,0,0,7.8958,S,True,True
76,0,3,male,26.5,0,0,8.05,S,True,True
77,1,2,male,0.83,0,2,29.0,S,False,False
78,1,3,female,30.0,0,0,12.475,S,False,True
79,0,3,male,22.0,0,0,9.0,S,True,True
80,1,3,male,29.0,0,0,9.5,S,True,True
81,1,3,female,26.5,0,0,7.7875,Q,False,True
82,0,1,male,28.0,0,0,47.1,S,True,True
83,1,2,female,17.0,0,0,10.5,S,False,True
84,1,3,female,33.0,3,0,15.85,S,False,False
85,0,3,male,16.0,1,3,34.375,S,True,False
86,0,3,male,26.5,0,0,8.05,S,True,True
87,1,1,female,23.0,3,2,263.0,S,False,False
88,0,3,male,24.0,0,0,8.05,S,True,True
89,0,3,male,29.0,0,0,8.05,S,True,True
90,0,3,male,20.0,0,0,7.8542,S,True,True
91,0,1,male,46.0,1,0,61.175,S,True,False
92,0,3,male,26.0,1,2,20.575,S,True,False
93,0,3,male,59.0,0,0,7.25,S,True,True
94,0,3,male,26.5,0,0,8.05,S,True,True
95,0,1,male,71.0,0,0,34.6542,C,True,True
96,1,1,male,23.0,0,1,63.3583,C,True,False
97,1,2,female,34.0,0,1,23.0,S,False,False
98,0,2,male,34.0,1,0,26.0,S,True,False
99,0,3,female,28.0,0,0,7.8958,S,False,True
100,0,3,male,26.5,0,0,7.8958,S,True,True
101,0,1,male,21.0,0,1,77.2875,S,True,False
102,0,3,male,33.0,0,0,8.6542,S,True,True
103,0,3,male,37.0,2,0,7.925,S,True,False
104,0,3,male,28.0,0,0,7.8958,S,True,True
105,1,3,female,21.0,0,0,7.65,S,False,True
106,1,3,male,26.5,0,0,7.775,S,True,True
107,0,3,male,38.0,0,0,7.8958,S,True,True
108,1,3,female,26.5,1,0,24.15,Q,False,False
109,0,1,male,47.0,0,0,52.0,S,True,True
110,0,3,female,14.5,1,0,14.4542,C,False,False
111,0,3,male,22.0,0,0,8.05,S,True,True
112,0,3,female,20.0,1,0,9.825,S,False,False
113,0,3,female,17.0,0,0,14.4583,C,False,True
114,0,3,male,21.0,0,0,7.925,S,True,True
115,0,3,male,70.5,0,0,7.75,Q,True,True
116,0,2,male,29.0,1,0,21.0,S,True,False
117,0,1,male,24.0,0,1,247.5208,C,True,False
118,0,3,female,2.0,4,2,31.275,S,False,False
119,0,2,male,21.0,2,0,73.5,S,True,False
120,0,3,male,26.5,0,0,8.05,S,True,True
121,0,2,male,32.5,1,0,30.0708,C,True,False
122,1,2,female,32.5,0,0,13.0,S,False,True
123,0,1,male,54.0,0,1,77.2875,S,True,False
124,1,3,male,12.0,1,0,11.2417,C,False,False
125,0,3,male,26.5,0,0,7.75,Q,True,True
126,1,3,male,24.0,0,0,7.1417,S,True,True
127,1,3,female,26.5,1,1,22.3583,C,False,False
128,0,3,male,45.0,0,0,6.975,S,True,True
129,0,3,male,33.0,0,0,7.8958,C,True,True
130,0,3,male,20.0,0,0,7.05,S,True,True
131,0,3,female,47.0,1,0,14.5,S,False,False
